split_A,image_A,split_B,image_B,SSIM
train,04933.jpg,test,00923.jpg,0.9886943239347116
train,01199.jpg,test,01533.jpg,0.9886764702493765
train,05184.jpg,test,02198.jpg,0.9886575125211021
train,01023.jpg,test,01499.jpg,0.9886396251508357
train,01023.jpg,test,00402.jpg,0.9886396251508357
train,05080.jpg,test,00942.jpg,0.9885971371290077
train,05080.jpg,test,02185.jpg,0.9885971371290077
train,01232.jpg,test,01538.jpg,0.9885606580673979
train,01232.jpg,test,00439.jpg,0.9885606580673979
train,05018.jpg,test,00934.jpg,0.9885541375190878
train,05018.jpg,test,02174.jpg,0.9885541375190878
train,04936.jpg,test,02159.jpg,0.9885470549899023
train,04936.jpg,test,00923.jpg,0.9885470549899023
train,05068.jpg,test,02183.jpg,0.9885070285144559
train,04942.jpg,test,00925.jpg,0.9884793289893524
train,04942.jpg,test,02161.jpg,0.9884793289893524
train,05031.jpg,test,02178.jpg,0.9884662057962303
train,05134.jpg,test,02192.jpg,0.9884574449790479
train,05134.jpg,test,00948.jpg,0.9884574449790479
train,01111.jpg,test,00423.jpg,0.9884553720873415
train,01111.jpg,test,01516.jpg,0.9884553720873415
train,01056.jpg,test,00404.jpg,0.9884476795464406
train,01056.jpg,test,01503.jpg,0.9884476795464406
train,05015.jpg,test,02174.jpg,0.9884358511347386
train,05015.jpg,test,00934.jpg,0.9884358511347386
train,05018.jpg,test,00935.jpg,0.9884291564758588
train,05018.jpg,test,02175.jpg,0.9884291564758588
train,04935.jpg,test,00924.jpg,0.9884049315925797
train,04935.jpg,test,02160.jpg,0.9884049315925797
train,05180.jpg,test,00953.jpg,0.9883948952180993
train,05180.jpg,test,02199.jpg,0.9883948952180993
train,01066.jpg,test,00410.jpg,0.9883897709215904
train,01066.jpg,test,01510.jpg,0.9883897709215904
train,05023.jpg,test,02178.jpg,0.9883612336433536
train,05015.jpg,test,00935.jpg,0.9883598017758982
train,05015.jpg,test,02175.jpg,0.9883598017758982
train,05186.jpg,test,02199.jpg,0.9883287292202795
train,05186.jpg,test,00953.jpg,0.9883287292202795
train,04936.jpg,test,00925.jpg,0.9883088881676041
train,04936.jpg,test,02161.jpg,0.9883088881676041
train,01229.jpg,test,01540.jpg,0.9882680458672259
train,05193.jpg,test,00953.jpg,0.9881968304907719
train,04968.jpg,test,00928.jpg,0.9881232206965881
train,04968.jpg,test,02165.jpg,0.9881232206965881
train,05030.jpg,test,02178.jpg,0.9881229822175478
train,05184.jpg,test,00955.jpg,0.9881183825823127
train,01205.jpg,test,00436.jpg,0.9881169840920744
train,01205.jpg,test,01534.jpg,0.9881169840920744
train,04943.jpg,test,02161.jpg,0.9881160323521474
train,04943.jpg,test,00925.jpg,0.9881160323521474
train,04934.jpg,test,00924.jpg,0.9881087890380088
train,04934.jpg,test,02160.jpg,0.9881087890380088
train,01020.jpg,test,01501.jpg,0.9880474115659115
train,01020.jpg,test,00403.jpg,0.9880474115659115
train,05078.jpg,test,02186.jpg,0.9880121085343032
train,01029.jpg,test,01501.jpg,0.987978664244674
train,01029.jpg,test,00403.jpg,0.987978664244674
train,03075.jpg,test,01879.jpg,0.9879760145212517
train,04933.jpg,test,00924.jpg,0.9879532540964884
train,04933.jpg,test,02160.jpg,0.9879532540964884
train,03074.jpg,test,01879.jpg,0.9879423619741775
train,01035.jpg,test,01503.jpg,0.9879262342410475
train,01035.jpg,test,00404.jpg,0.9879262342410475
train,01119.jpg,test,01519.jpg,0.9879213196479247
train,01119.jpg,test,00425.jpg,0.9879213196479247
train,04995.jpg,test,02170.jpg,0.9878761793463511
train,04995.jpg,test,00931.jpg,0.9878761793463511
train,03080.jpg,test,01879.jpg,0.9878729371197319
train,00915.jpg,test,01474.jpg,0.9878596426495546
train,00915.jpg,test,00390.jpg,0.9878596426495546
train,00971.jpg,test,01491.jpg,0.9878594114833849
train,00971.jpg,test,00396.jpg,0.9878594114833849
train,03073.jpg,test,01879.jpg,0.9878367988997491
train,01220.jpg,test,01540.jpg,0.9878270310809096
train,01013.jpg,test,01501.jpg,0.9878213960557966
train,01013.jpg,test,00403.jpg,0.9878213960557966
train,00948.jpg,test,01487.jpg,0.9878042006975407
train,04986.jpg,test,02169.jpg,0.9877586361878612
train,04998.jpg,test,00932.jpg,0.9877493772100411
train,04998.jpg,test,02171.jpg,0.9877493772100411
train,04942.jpg,test,02162.jpg,0.9877222600035697
train,04942.jpg,test,00926.jpg,0.9877222600035697
train,04937.jpg,test,02160.jpg,0.9876521910212943
train,04937.jpg,test,00924.jpg,0.9876521910212943
train,04944.jpg,test,00925.jpg,0.9876521462729054
train,04944.jpg,test,02161.jpg,0.9876521462729054
train,03072.jpg,test,01879.jpg,0.987652130323992
train,04937.jpg,test,00925.jpg,0.9876329131611921
train,04937.jpg,test,02161.jpg,0.9876329131611921
train,00930.jpg,test,01480.jpg,0.9875976174686132
train,05176.jpg,test,02200.jpg,0.9875890831239165
train,05176.jpg,test,00954.jpg,0.9875890831239165
train,04930.jpg,test,02161.jpg,0.9875835297739614
train,04930.jpg,test,00925.jpg,0.9875835297739614
train,04932.jpg,test,02159.jpg,0.9875721160449658
train,04932.jpg,test,00923.jpg,0.9875721160449658
train,04914.jpg,test,02157.jpg,0.987556175286561
train,04914.jpg,test,00922.jpg,0.987556175286561
train,01055.jpg,test,00404.jpg,0.9875560852426669
train,01055.jpg,test,01503.jpg,0.9875560852426669
train,04935.jpg,test,00923.jpg,0.9875189862318731
train,04935.jpg,test,02159.jpg,0.9875189862318731
train,04939.jpg,test,02163.jpg,0.9875094409918451
train,05021.jpg,test,02178.jpg,0.9874914106492984
train,04941.jpg,test,00926.jpg,0.987455194307136
train,04941.jpg,test,02162.jpg,0.987455194307136
train,04927.jpg,test,00923.jpg,0.9874549232292893
train,04927.jpg,test,02159.jpg,0.9874549232292893
train,01232.jpg,test,01540.jpg,0.9874476615923603
train,00913.jpg,test,00391.jpg,0.9874156966718323
train,00913.jpg,test,01475.jpg,0.9874156966718323
train,00974.jpg,test,00396.jpg,0.9874087405608848
train,00974.jpg,test,01491.jpg,0.9874087405608848
train,04997.jpg,test,02171.jpg,0.9873705700048325
train,04997.jpg,test,00932.jpg,0.9873705700048325
train,04933.jpg,test,02161.jpg,0.9873656754460622
train,04933.jpg,test,00925.jpg,0.9873656754460622
train,04935.jpg,test,00925.jpg,0.9873020156182105
train,04935.jpg,test,02161.jpg,0.9873020156182105
train,05177.jpg,test,02199.jpg,0.9872712657000523
train,05177.jpg,test,00953.jpg,0.9872712657000523
train,04932.jpg,test,02160.jpg,0.9872642944367208
train,04932.jpg,test,00924.jpg,0.9872642944367208
train,04991.jpg,test,00932.jpg,0.9872559298649352
train,04991.jpg,test,02171.jpg,0.9872559298649352
train,00929.jpg,test,01481.jpg,0.9872507804924683
train,04967.jpg,test,02166.jpg,0.9871378329850335
train,04967.jpg,test,00929.jpg,0.9871378329850335
train,05049.jpg,test,02182.jpg,0.9870949830996812
train,05049.jpg,test,00941.jpg,0.9870949830996812
train,01384.jpg,test,01566.jpg,0.9870708358189199
train,01384.jpg,test,00459.jpg,0.9870708358189199
train,03077.jpg,test,01879.jpg,0.9870552766017722
