image,GT,Predictions,TP,FP,FN,total_errors
00290.jpg,1,1,1,0,0,0
00291.jpg,1,1,1,0,0,0
00292.jpg,1,1,1,0,0,0
00293.jpg,1,1,1,0,0,0
00294.jpg,1,1,1,0,0,0
00295.jpg,1,1,1,0,0,0
00296.jpg,1,1,1,0,0,0
00297.jpg,1,1,1,0,0,0
00298.jpg,1,1,1,0,0,0
00299.jpg,1,1,1,0,0,0
00300.jpg,1,1,1,0,0,0
00301.jpg,1,1,1,0,0,0
00302.jpg,1,1,1,0,0,0
00303.jpg,1,1,1,0,0,0
00304.jpg,1,1,1,0,0,0
00305.jpg,1,1,1,0,0,0
00306.jpg,1,1,1,0,0,0
00307.jpg,1,1,1,0,0,0
00308.jpg,1,1,1,0,0,0
00309.jpg,1,1,1,0,0,0
00310.jpg,1,1,1,0,0,0
00311.jpg,1,1,1,0,0,0
00312.jpg,1,1,1,0,0,0
00313.jpg,1,1,1,0,0,0
00314.jpg,1,1,1,0,0,0
00315.jpg,1,1,1,0,0,0
00318.jpg,1,1,1,0,0,0
00319.jpg,1,1,1,0,0,0
00320.jpg,1,1,1,0,0,0
00321.jpg,1,1,1,0,0,0
00322.jpg,1,1,1,0,0,0
00323.jpg,1,1,1,0,0,0
00324.jpg,1,1,1,0,0,0
00325.jpg,1,1,1,0,0,0
00326.jpg,1,1,1,0,0,0
00327.jpg,1,1,1,0,0,0
00328.jpg,1,1,1,0,0,0
00329.jpg,1,1,1,0,0,0
00330.jpg,1,1,1,0,0,0
00331.jpg,1,1,1,0,0,0
00332.jpg,1,1,1,0,0,0
00333.jpg,1,1,1,0,0,0
00334.jpg,1,1,1,0,0,0
00335.jpg,1,1,1,0,0,0
00336.jpg,1,1,1,0,0,0
00337.jpg,1,1,1,0,0,0
00338.jpg,1,1,1,0,0,0
00339.jpg,1,1,1,0,0,0
00340.jpg,1,1,1,0,0,0
00341.jpg,1,1,1,0,0,0
00342.jpg,1,1,1,0,0,0
00343.jpg,1,1,1,0,0,0
00344.jpg,1,1,1,0,0,0
00345.jpg,1,1,1,0,0,0
00346.jpg,1,1,1,0,0,0
00347.jpg,1,1,1,0,0,0
00348.jpg,1,1,1,0,0,0
00349.jpg,1,1,1,0,0,0
00350.jpg,1,1,1,0,0,0
00352.jpg,1,1,1,0,0,0
00353.jpg,1,1,1,0,0,0
